photo_id,kmeans_label,hdbscan_label,kmeans_k,index,username,category,lat,long,is_llava_imputed
0a1f7097-940a-4e97-bd9d-3e67d050ec11,1,0,11,77,c_real,works_well,47.49899,8.750817,False
1da47b30-3fd7-4a6c-920c-8bf463463958,2,-1,11,78,pascal,works_well,47.498962,8.749784,True
ee5e6392-dd31-48b0-8bee-2ef009bb2eae,3,1,11,79,rojan,works_well,47.499474,8.750247,False
d0f31852-15b7-42dd-a32b-99efe5e7fd1e,5,-1,11,80,c_real,works_well,47.499023,8.750594,False
d54ec73b-dc8a-47ac-9ac8-2c7f81fea255,8,10,11,81,miqilo,works_well,47.49941,8.749542,False
836cdcee-7a97-409d-b707-4b5aaa737b69,1,0,11,82,c_real,works_well,47.499947,8.726061,False
d6ee9693-fa0c-4790-be65-0bde00ed7627,7,7,11,83,c_real,works_well,47.498436,8.726901,False
ab91f454-80d9-46f8-b79a-0d3f79f01d8a,5,2,11,84,nm,works_well,,,False
298db538-6983-4bc9-baf1-c42a7616143b,9,2,11,85,nm,works_well,,,False
d03343d2-97ba-439a-b8d2-a6372ea0bd4a,9,2,11,86,nm,works_well,,,False
96dbd997-9d4b-4864-816f-991624aa62a4,5,2,11,87,nm,works_well,,,False
e6fff8e9-cdd7-4b96-9a42-9bd5bb6bb6bf,9,2,11,88,nm,works_well,,,False
0b572652-8771-4886-bc98-f089f6f6abf6,6,8,11,89,csd,works_well,47.494663,8.750704,False
401c5eff-04e5-4aff-b3e9-ccbb3308ab0b,4,3,11,90,noahb,works_well,47.275707,8.446482,False
9c64ccda-26ef-400e-9434-52cf9ea4a508,3,-1,11,91,noahb,works_well,47.27086,8.440041,False
31df8018-0ef5-495f-bbfd-d9905d778d76,3,1,11,92,bueelma,works_well,47.501038,8.72336,False
35fad162-3040-4e2f-862c-024717d91816,3,1,11,93,bueelma,works_well,47.500793,8.723183,False
bb2b34fb-6f1e-4b01-8558-4bdef4dde811,3,1,11,94,bueelma,works_well,47.500977,8.723324,False
eafe9bb0-c7eb-4308-86ee-1933ce05d186,1,0,11,95,bueelma,works_well,47.500916,8.723274,False
93aeada6-8729-4cd6-910d-0debed362cab,6,8,11,96,fabribg,works_well,47.504524,8.771718,False
00355db6-c4f3-4050-8534-cfc93011a80a,3,1,11,97,noahb,works_well,47.356964,8.448515,False
6d2c70b0-33a8-410a-9d4f-1ca9ffa30300,0,8,11,98,csd,works_well,,,True
839dda4a-531d-47b3-97ec-51183fb62ea4,7,7,11,99,bueelma,problem,47.55716,8.691998,False
ce54f5c1-68c3-49ae-8e21-973bb8b14434,9,2,11,100,nm,problem,,,False
2c4d4efd-acea-4703-a6c6-e5dfc3d850ee,2,5,11,101,fabribg,problem,47.397484,8.596347,False
161b0609-198f-4454-a27e-b79ee4407cbc,7,7,11,102,emilie,problem,47.501602,8.751954,False
4acc68c4-6931-4b1b-847d-75076a447644,7,7,11,103,emilie,problem,47.501602,8.751953,False
2899a519-33fd-428e-8e8a-56af242c1bd3,4,3,11,104,emilie,problem,47.501602,8.751954,False
d0a68919-6723-4dcc-be1c-cd44e233bf89,0,8,11,105,emilie,problem,47.501602,8.751955,False
b7514b81-c536-4195-be5b-c9e0093eb919,8,9,11,106,andrewdd8400,problem,47.501923,8.768215,False
28b13e8c-a8d7-4a0e-b9f9-204b9c0ac652,10,-1,11,107,andrewdd8400,problem,47.501923,8.768215,False
dacaa080-adac-4ea5-9336-8d5dad0abbdc,9,2,11,108,nm,problem,,,False
c1fd36c1-26ae-4e98-9d57-2c243c99063f,6,8,11,109,fabribg,problem,47.49825,8.73952,False
8632d98d-440a-4fd3-a9d2-c64d1724ad4c,9,2,11,110,emilie,problem,47.50159,8.752191,False
df8a7931-654f-40ff-b161-49b509f5ec56,5,2,11,111,emilie,problem,47.50161,8.751913,False
25d256e0-f780-4a32-a41f-cab66c15c7d0,3,1,11,112,emilie,problem,47.50161,8.751913,False
9e9cf25f-779c-4e5a-b07f-94b19fdf60e0,10,10,11,113,fiona,problem,47.49872,8.863374,False
032d8054-0c3d-47d7-bcd8-6cace58c775a,0,-1,11,114,csd,problem,,,True
f1f2c7ee-4a07-4280-8455-a6f29af90935,0,8,11,115,vicente,problem,47.365986,8.549174,False
9e913236-11b2-4269-a335-13a55d67acf9,7,6,11,116,teri284,problem,,,False
90287b9b-0f86-40a6-b87b-969c6bfb20bb,7,4,11,117,miqilo,problem,47.497894,8.729684,False
8a0ef05f-0302-473a-8190-c9cd7edee563,2,-1,11,118,csd,problem,47.49909,8.72399,False
f82d95ff-d2e6-4b95-a68f-4f32a6252f77,6,5,11,119,gome,problem,47.49915,8.724024,False
71f5cabb-8e40-4dfc-b100-3626b36a9112,6,5,11,120,c_real,problem,47.499554,8.723764,False
39e08d74-327f-4fbe-b619-5ee31b5aabcf,6,5,11,121,john,problem,47.49935,8.723828,False
a591bc3e-c552-4714-a814-b7f2399c098b,7,4,11,122,teri284,problem,,,False
6d90f15d-a311-495b-a69c-f84fa422b101,1,0,11,123,arejou,problem,47.4989,8.749856,False
e6f16fd7-c4a5-4728-bfb7-80b8d2a809b6,8,3,11,124,teri284,problem,,,False
349d7156-85d1-488e-8bdd-fd8541e893e9,2,5,11,125,pascal,problem,47.49771,8.726784,False
24b4ab6a-ed49-4c15-aa3d-7bbe332b39d4,4,3,11,126,c_real,problem,47.49951,8.723614,False
34dbca9c-e4b9-4540-95b0-3117df157fcb,6,8,11,127,miqilo,problem,47.499405,8.72387,False
41b9bddb-4841-4531-ae90-0b4d41c08729,7,7,11,128,philemon,problem,47.498806,8.724359,False
59c4cc96-443a-4ff7-ac08-adf83388e916,2,5,11,129,mountainpixel,problem,47.49944,8.723951,False
39d7e9e3-3374-4000-9504-3fb55eee219f,8,9,11,130,mountainpixel,problem,47.49958,8.723718,False
e04589d1-0cc0-436d-90d8-db9dcd3564f1,8,10,11,131,oli,problem,,,False
3fbd0d32-a94a-49eb-a19a-dca70bf7b5c3,2,5,11,132,mountainpixel,problem,47.499237,8.723927,False
5791ae04-8ed4-431d-8681-fc7e1a0ab1ae,3,1,11,133,xolivier,problem,,,False
6e1d2719-8566-4e0f-99a4-3bf2defe3964,6,5,11,134,teri284,problem,,,False
0eb46ba4-3cc4-4b5c-b25f-03277afc382d,0,-1,11,135,miqilo,problem,47.49969,8.723607,False
304197d5-d126-4f98-90d9-f51b9c5b393e,7,-1,11,136,philemon,problem,47.500397,8.730626,False
148ab6cc-1ebd-4590-a75d-6d8f8ca6cfaf,2,6,11,137,xolivier,problem,,,False
ff6f45f7-1e93-41c2-a954-b12e21737749,2,-1,11,138,john,problem,47.49873,8.750703,False
32e83019-8576-426b-970f-8bdd7ca28ef9,7,7,11,139,xolivier,problem,,,False
76581b3d-9cf8-4a3a-b9dc-ab69b403b904,2,-1,11,140,gome,problem,47.498714,8.750609,False
0d0595f0-9da2-48a1-b39c-1007e8db6702,7,4,11,141,xolivier,problem,,,False
dc1dc5fb-5468-497c-9614-20acf691eacb,7,4,11,142,arejou,problem,47.49911,8.750984,False
204ea51e-14ca-4fe3-a143-cc7f390240cb,9,2,11,143,pascal,problem,47.4993,8.72136,False
1ffabcae-5376-48f3-9843-fd3874ff57e5,7,7,11,144,c_real,problem,47.498993,8.750354,False
49c78b7c-32e6-43c5-b363-929dacd6166b,7,7,11,145,c_real,problem,47.498867,8.750455,False
331a9865-de2e-4631-a65a-2174431b34fa,2,6,11,146,arejou,problem,47.499496,8.751376,False
baf1bc29-88d6-4385-af74-38ce32597ce6,4,3,11,147,philemon,problem,47.498817,8.750297,False
d333af5a-af57-4543-8c31-f4fdb4d008fa,2,-1,11,148,john,problem,47.500214,8.7514,False
3e3eb5db-d5d7-460b-a15b-f8a93f85ef1f,4,3,11,149,teri284,problem,,,False
ffab36ea-fff5-429e-80b8-eb9498d7e292,2,-1,11,150,mountainpixel,problem,47.49914,8.749893,False
0b3fdb01-b8e8-4b31-a719-6c21eca941d8,8,9,11,151,rojan,problem,47.499596,8.723112,True
1a6c890b-80c7-476b-bdfb-f03f94a06c5b,4,3,11,152,pascal,problem,47.498962,8.749784,False
f023e50f-1d9b-4dfe-a44f-7ac1a3a0d173,7,4,11,153,mountainpixel,problem,47.49914,8.749893,False
41f3197d-2414-4057-954e-002ce9c05310,4,3,11,154,xolivier,problem,,,False
40ba6014-b718-4d6a-9e7d-83b32a6f2ebe,0,9,11,155,arejou,problem,47.49874,8.750626,False
1fb62b5f-dd2b-4cfc-9ede-3ab9b35a6cab,4,3,11,156,xolivier,problem,,,False
f709262e-947c-492e-a4f8-61d7a8988a29,4,3,11,157,rojan,problem,47.499657,8.722663,False
059bdbfc-4448-41df-9713-863d9b3454e9,9,2,11,158,rojan,problem,47.49957,8.723072,False
278bc7ec-aaca-4302-a503-55466deab987,1,0,11,159,xolivier,problem,,,False
1ee6eb52-d2bf-4b76-a200-a5d91c2d59f6,7,7,11,160,rojan,problem,47.499275,8.722636,False
e9bf7333-b95b-49c6-87a0-220f9b2f32b7,1,0,11,161,rojan,problem,47.49901,8.722964,False
5a20efdf-4c2c-488f-86fc-d99edcfd1a6e,2,-1,11,162,xolivier,problem,,,False
2982bea9-10ed-4a5b-b08a-f00bcd582ee5,4,3,11,163,c_real,problem,47.500957,8.724168,False
95e31343-c238-4525-ad54-8424209cc634,7,4,11,164,rojan,problem,47.49885,8.724251,False
6b679b6d-32cf-4078-b854-2b148446c480,2,-1,11,165,mountainpixel,problem,47.49752,8.732062,False
b9cafa6f-5369-4d38-8e36-5397140da0d5,7,7,11,166,mountainpixel,problem,47.49792,8.729662,False
a168f9c5-9c72-48d1-9bc1-b8119a994e75,2,-1,11,167,rojan,problem,47.497955,8.726286,False
4e2706ca-d22e-45cb-ae6c-7903afe8ae66,7,4,11,168,rojan,problem,47.497566,8.728052,False
9380b476-039b-478d-b91a-2f028a144ca0,7,6,11,169,c_real,problem,47.49829,8.72803,False
0ebfcc4e-2461-4e4e-a959-a0561a05e75c,2,-1,11,170,csd,problem,47.498013,8.73076,False
cf6608d1-366c-4e43-8d95-8806258aa9c4,4,3,11,171,bueelma,problem,47.497284,8.730339,False
bf9eadbe-705a-41ad-96d7-3365a1245318,2,5,11,172,bueelma,problem,47.597015,8.68427,False
74085256-b084-4881-a430-0dfe797cbc7e,2,6,11,173,bueelma,problem,47.501495,8.724452,False
6fd8b4c3-d2f4-4f66-90b8-51fd1d09a14a,9,2,11,174,nm,problem,,,False
72624c65-3aff-40af-b004-65f3078fea11,0,8,11,175,sibil,problem,47.482227,8.770192,True
